level, time, accuracy, wpm, bpm
1, 6:10, 83.05, 15.31,
1, 4:41, 92.80, 15.42,
1, 4:01, 86.91, 17.88,
1, 4:32, 86.74, 16.63,
1, 4:35, 82.80, 16.49,
1, 4:09, 90.30, 15.90,
1, 4:05, 85.60, 17.68,
1, 3:49, 90.16, 19.18,
1, 3:49, 93.49, 17.71,
1, 3:09, 95.81, 19.68,
1, 3:45, 90.78, 18.51,
1, 3:50, 83.33, 19.41,
1, 3:24, 86.13, 20.35,
1, 3:24, 90.76, 21.65,
1, 2:46, 88.54, 25.23,
1, 3:04, 82.70, 24.13,
1, 3:01, 87.85, 23.47,
1, 3:16, 79.55, 24.55,
1, 3:22, 88.41, 22.04,
1, 3:22, 86.70, 25.01,
1, 2:39, 85.71, 26.42,
1, 2:51, 90.86, 23.79,
1, 2:33, 85.15, 25.88,
1, 2:29, 90.26, 28.11,
1, 2:28, 89.76, 26.92,
1, 3:07, 90.46, 23.55,
1, 2:51, 86.40, 26.32,
1, 3:41, 93.00, 21.72,
1, 3:07, 96.00, 22.46,
1, 2:50, 95.73, 23.15,
1, 2:22, 98.08, 26.45,
1, 2:58, 91.08, 24.94,
1, 3:03, 94.74, 21.18,
1, 2:51, 96.55, 24.42,
1, 2:32, 94.91, 26.37,
1, 2:36, 93.16, 27.00,
1, 2:52, 93.61, 27.28,
1, 2:41, 90.57, 27.65,
1, 2:26, 95.87, 27.86,
1, 4:36, 96.47, 14.78,
1, 5:54, 96.83, 10.68, 54
1, 6:41, 96.91, 10.65, 54
1, 6:19, 95.49, 11.24, 58
1, 5:24, 95.77, 12.26, 60
1, 4:39, 97.92, 14.49, 60
1, 4:37, 98.11, 13.73, 69
2, 3:57, 87.53, 18.28,
2, 6:08, 95.87, 11.05, 54
2, 5:24, 96.77, 12.63, 60
2, 4:44, 90.72, 14.58, 69
2, 4:38, 97.20, 13.86, 69
2, 4:16, 95.11, 15.33, 80
2, 4:44, 97.89, 13.99, 80
3, 4:53, 86.98, 14.78, 
3, 6:03, 98.50, 11.04, 54
3, 5:18, 95.35, 12.98, 58
3, 6:18, 96.33, 11.24, 58
3, 4:10, 94.89, 17.86,
3, 5:09, 94.96, 13.86, 69
3, 4:51, 96.15, 13.94, 69
